"cidade","data_hora","temperatura","umidade","vento","precipitacao","data","hora","periodo"
"São Paulo",2026-06-01,14.1,97,3.4,0,2026-06-01,0,"Madrugada"
"São Paulo",2026-06-01 01:00:00,14,97,3.1,0,2026-06-01,1,"Madrugada"
"São Paulo",2026-06-01 02:00:00,13.6,99,2.8,0,2026-06-01,2,"Madrugada"
"São Paulo",2026-06-01 03:00:00,13.5,98,2.7,0,2026-06-01,3,"Madrugada"
"São Paulo",2026-06-01 04:00:00,13.2,98,3,0,2026-06-01,4,"Madrugada"
"São Paulo",2026-06-01 05:00:00,13.2,96,3.5,0,2026-06-01,5,"Manhã"
"São Paulo",2026-06-01 06:00:00,13.1,96,3.2,0,2026-06-01,6,"Manhã"
"São Paulo",2026-06-01 07:00:00,13.1,95,3.2,0,2026-06-01,7,"Manhã"
"São Paulo",2026-06-01 08:00:00,13.3,94,2.8,0,2026-06-01,8,"Manhã"
"São Paulo",2026-06-01 09:00:00,13.9,93,4.5,0,2026-06-01,9,"Manhã"
"São Paulo",2026-06-01 10:00:00,14.9,88,4.8,0,2026-06-01,10,"Manhã"
"São Paulo",2026-06-01 11:00:00,15.8,82,4.2,0,2026-06-01,11,"Manhã"
"São Paulo",2026-06-01 12:00:00,17.2,73,2.8,0,2026-06-01,12,"Tarde"
"São Paulo",2026-06-01 13:00:00,18.6,64,1.6,0,2026-06-01,13,"Tarde"
"São Paulo",2026-06-01 14:00:00,19.6,59,3.2,0,2026-06-01,14,"Tarde"
"São Paulo",2026-06-01 15:00:00,20.1,53,4.5,0,2026-06-01,15,"Tarde"
"São Paulo",2026-06-01 16:00:00,19.5,56,7.9,0,2026-06-01,16,"Tarde"
"São Paulo",2026-06-01 17:00:00,17,77,12.2,0,2026-06-01,17,"Tarde"
"São Paulo",2026-06-01 18:00:00,15.4,85,9.7,0,2026-06-01,18,"Noite"
"São Paulo",2026-06-01 19:00:00,14.7,86,8.9,0,2026-06-01,19,"Noite"
"São Paulo",2026-06-01 20:00:00,13.9,88,7.5,0,2026-06-01,20,"Noite"
"São Paulo",2026-06-01 21:00:00,13.2,91,7.1,0,2026-06-02,21,"Noite"
"São Paulo",2026-06-01 22:00:00,12.8,95,5.5,0,2026-06-02,22,"Noite"
"São Paulo",2026-06-01 23:00:00,12.6,98,5.3,0,2026-06-02,23,"Noite"
"São Paulo",2026-06-02,12.7,97,6,0,2026-06-02,0,"Madrugada"
"São Paulo",2026-06-02 01:00:00,12.6,96,5.1,0,2026-06-02,1,"Madrugada"
"São Paulo",2026-06-02 02:00:00,12.2,97,4.1,0,2026-06-02,2,"Madrugada"
"São Paulo",2026-06-02 03:00:00,11.9,97,3.6,0,2026-06-02,3,"Madrugada"
"São Paulo",2026-06-02 04:00:00,11.6,98,3.2,0,2026-06-02,4,"Madrugada"
"São Paulo",2026-06-02 05:00:00,11.5,99,3.1,0,2026-06-02,5,"Manhã"
"São Paulo",2026-06-02 06:00:00,11.6,99,3.4,0,2026-06-02,6,"Manhã"
"São Paulo",2026-06-02 07:00:00,11.6,99,4.1,0,2026-06-02,7,"Manhã"
"São Paulo",2026-06-02 08:00:00,12.1,98,4.3,0,2026-06-02,8,"Manhã"
"São Paulo",2026-06-02 09:00:00,13.8,88,7.4,0,2026-06-02,9,"Manhã"
"São Paulo",2026-06-02 10:00:00,15.6,76,8.8,0,2026-06-02,10,"Manhã"
"São Paulo",2026-06-02 11:00:00,18,61,8.7,0,2026-06-02,11,"Manhã"
"São Paulo",2026-06-02 12:00:00,19,55,7.9,0,2026-06-02,12,"Tarde"
"São Paulo",2026-06-02 13:00:00,19.2,53,6.8,0,2026-06-02,13,"Tarde"
"São Paulo",2026-06-02 14:00:00,19.7,51,6.4,0,2026-06-02,14,"Tarde"
"São Paulo",2026-06-02 15:00:00,20,49,7.9,0,2026-06-02,15,"Tarde"
"São Paulo",2026-06-02 16:00:00,18.4,62,12.3,0,2026-06-02,16,"Tarde"
"São Paulo",2026-06-02 17:00:00,16.5,74,11.9,0,2026-06-02,17,"Tarde"
"São Paulo",2026-06-02 18:00:00,14.9,85,11.2,0,2026-06-02,18,"Noite"
"São Paulo",2026-06-02 19:00:00,14.2,91,8.9,0,2026-06-02,19,"Noite"
"São Paulo",2026-06-02 20:00:00,14.1,90,9.5,0,2026-06-02,20,"Noite"
"São Paulo",2026-06-02 21:00:00,14.3,89,10.6,0,2026-06-03,21,"Noite"
"São Paulo",2026-06-02 22:00:00,14.1,91,9.6,0,2026-06-03,22,"Noite"
"São Paulo",2026-06-02 23:00:00,14.1,91,9,0,2026-06-03,23,"Noite"
